System,River,ReturnYear,Total_Returns,AgeClass_0.1,AgeClass_0.2,AgeClass_0.3,AgeClass_0.4,AgeClass_0.5,AgeClass_1.1,AgeClass_1.2,AgeClass_1.3,AgeClass_1.4,AgeClass_1.5,AgeClass_2.1,AgeClass_2.2,AgeClass_2.3,AgeClass_2.4,AgeClass_3.1,AgeClass_3.2,AgeClass_3.3,AgeClass_3.4
Bristol Bay,Alagnak,1994,2062023.4,0,0,3138.08,1365.06,0,23838.3,0,1322636.53,19833.51,0,0,691211.91,0,0,0,0,0,0
Bristol Bay,Alagnak,1995,2198777.94,0,0,0,240.76,0,0,1012274.36,1174114.76,12148.05,0,0,0,0,0,0,0,0,0
Bristol Bay,Alagnak,1996,2383541.74,0,0,35663.28,0,0,0,0,2341905.26,4214.61,0,0,0,0,1758.58,0,0,0,0
Bristol Bay,Alagnak,1997,814336.2,0,0,10456.95,824.64,0,593413.38,1463.54,150356.32,0,0,0,0,53630.11,0,0,2601.05,1590.21,0
Bristol Bay,Alagnak,1998,1185591.3,0,0,1616.28,0,0,0,0,957262.24,0,0,0,226712.78,0,0,0,0,0,0
Bristol Bay,Alagnak,1999,3028936.65,0,0,0,0,0,0,2028132.49,688616.33,38.88,0,0,1106.67,311042.29,0,0,0,0,0
Bristol Bay,Alagnak,2000,2189169.95,0,0,0,11.85,0,5994.05,40387.31,1861831.56,11052.98,0,0,1922.91,259857.14,0,0,8112.15,0,0
Bristol Bay,Alagnak,2001,1186912.55,0,0,55.37,0,0,11639.28,1871.39,1167710.22,974.45,0,11.07,1162.7,3421.65,66.44,0,0,0,0
Bristol Bay,Alagnak,2002,941300.53,0,10.81,0,0,0,0,9903.01,625825.3,204767.56,0,8095.76,85372.13,7234.12,43.22,0,37.82,10.81,0
Bristol Bay,Alagnak,2003,4157797.35,0,0,0,0,0,2051.17,802308.8,2422101.57,41421.52,0,47.01,269435.09,620197.12,47.01,0,188.05,0,0
Bristol Bay,Alagnak,2004,7525949.14,0,0,13.26,0,0,39954.21,5559714.57,1213013.13,84.95,0,0,646231.01,56520.48,10148.84,0,0,0,268.68
Bristol Bay,Alagnak,2005,5224715.58,0,0,306.96,287.75,0,14.68,127914.75,4007257.57,277.28,0,17.9,34671.47,1053967.22,0,0,0,0,0
Bristol Bay,Alagnak,2006,3342878.92,0,0,6015,0,0,0,1774631.84,1366722.79,31485.87,0,0,37516.65,115780.49,10608.01,0,72.45,45.82,0
Bristol Bay,Alagnak,2007,4771232.68,0,0,0,0,0,1822.48,2760468.65,1836230.75,12340.67,0,0,67960.44,92409.7,0,0,0,0,0
Bristol Bay,Alagnak,2008,4706011.46,0,0,0,0,0,0,860687.91,3797307.26,4217.83,0,0,5381.48,38416.97,0,0,0,0,0
Bristol Bay,Alagnak,2009,2369159.93,0,0,0,0,0,1340.21,741790.31,1378015.37,116853.81,0,0,109723.99,21436.25,0,0,0,0,0
Bristol Bay,Alagnak,2010,2815554.26,0,0,0,0,0,1625.26,666876.14,1855297.39,15868.21,0,0,127545.81,148341.45,0,0,0,0,0
Bristol Bay,Alagnak,2011,2249301.67,0,0,0,0,0,827.07,500487.03,1577882.43,7216.03,0,0,54790.96,108098.16,0,0,0,0,0
Bristol Bay,Alagnak,2012,2227427.4,0,0,96.17,0,0,0,507010.24,1099434.14,623.63,0,0,481557.64,138224.74,384.67,0,96.17,0,0
Bristol Bay,Alagnak,2013,1930231.21,0,0,0,0,0,0,461079.57,1252746,258.78,0,172.52,89671.57,126216.5,0,0,0,86.26,0
Bristol Bay,Alagnak,2014,1621056.35,0,0,100.57,0,0,119.85,735455.24,693019.6,3907.47,0,239.71,117646.46,70466.88,100.57,0,0,0,0
Bristol Bay,Alagnak,2015,8244122.35,0,0,0.47,0,0,39747.72,3087316.41,3182986.39,848.31,0,0.07,1800823.2,132394.06,0,0,5.73,0,0
Bristol Bay,Alagnak,2016,4938142.34,0,0,0,0,0,2701.89,1123765.34,2498861.5,12833.28,0,0,533352.51,766627.81,0,0,0,0,0
Bristol Bay,Alagnak,2017,4430315.24,0,0,0,0,0,68087.61,2677120.72,1614660.84,2.75,0,0,22310.66,48130.99,0,0,1.42,0.25,0
Bristol Bay,Alagnak,2018,2873549.53,0,0,0,0,0,2697.79,1604307.42,1235289.75,10639.65,41.17,34.98,3197.53,17181.11,111.5,0,0,48.63,0
Bristol Bay,Alagnak,2019,1855135.62,0,0,0,0,0,4174.73,1230186.21,586590.72,457.58,0,0.28,24204.11,9521.97,0,0,0,0.02,0
Bristol Bay,Alagnak,2020,4561207.96,0,0,0,0,0,6736.58,1839803.78,2693830.1,0,0,0,19769.62,1067.89,0,0,0,0,0
Bristol Bay,Alagnak,2021,6124320.6,0,0,0,0,0,0,2324175.58,2700670.96,22635.25,0,1400.86,359397.02,716039.9,1.04,0,0,0,0
Bristol Bay,Alagnak,2022,4645074.16,0,0,0,0,0,8045.04,1106969.18,2929533.35,8130.43,0,0,420868,165740.14,0,0,215.15,5572.86,0
Bristol Bay,Alagnak,2023,2539456.2,0,0,0,0,0,1427.33,474456.84,1167190.08,6488.24,0,0,46741.78,843127.32,0,0,24.6,0,0
Bristol Bay,Alagnak,2024,4335434.72,0,0,0,0,0,0,3467864.06,556513.44,5269.37,0,0,283329.83,21962.55,400.69,0,94.76,0,0
Bristol Bay,Alagnak,2025,6059400.69,0,0,0,0,0,4668.34,528313.49,4988565.2,1331.37,0,75.16,75189.22,460734.99,438.4,0,84.54,0,0
Bristol Bay,Egegik,1963,1991859.77,0,0,0,0,0,0,50461.38,62982.42,0,0,2486.67,1064195.57,706515.78,0,0,89605.87,15612.1,0
Bristol Bay,Egegik,1964,2012601.4,0,0,0,0,0,0,213842.16,155084.84,88.3,0,397.26,1246563.36,290239.28,0,0,28636.93,77749.25,0
Bristol Bay,Egegik,1965,5170949.67,0,0,0,0,0,0,47269.21,340500.31,782.41,0,0,4134127.53,635809.19,0,0,10515.02,1945.99,0
Bristol Bay,Egegik,1966,2903851.05,0,0,0,0,0,0,3547.2,104163.89,0,0,404.82,383656.35,2347788.89,129.53,0,43856.63,20303.74,0
Bristol Bay,Egegik,1967,1725062.8,0,0,1024.71,0,0,228.79,2667.34,19755.11,0,0,2263.72,716891.19,916276.15,0,0,27631.83,38323.95,0
Bristol Bay,Egegik,1968,1011976.91,0,0,0,0,0,0,61057.67,85596.97,0,0,5946.09,513647.2,309636.99,0,0,27596.21,8495.79,0
Bristol Bay,Egegik,1969,2016715.5,0,0,0,0,0,0,24283.87,36450.13,0,0,24472.05,1534886.79,298366.85,0,0,82830.9,15424.92,0
Bristol Bay,Egegik,1970,1945368.91,0,0,177.39,0,0,0,145853.77,10867.35,0,0,105.3,1485853.92,222304.19,0,0,72732.35,7474.65,0
Bristol Bay,Egegik,1971,1996100.3,0,0,1900.88,0,0,0,56673.27,550527.84,1593.69,0,469.58,563055.12,811265.61,0,0,6338.11,4276.19,0
Bristol Bay,Egegik,1972,1774534.95,0,0,1006.27,0,0,0,20399.37,188696.43,1040.36,0,0,748745.14,781194.33,1013.29,0,9642.39,22797.36,0
Bristol Bay,Egegik,1973,787541.57,0,0,0,0,0,0,8738.09,46666.23,0,0,3357.57,90534.22,630902.24,0,0,668.73,6674.5,0
Bristol Bay,Egegik,1974,1504237.23,0,0,0,0,0,0,106126.79,103338.32,0,0,0,1090569.11,200828.18,1832.66,0,0,1542.17,0
Bristol Bay,Egegik,1975,2238670.98,0,0,0,0,0,0,21238.08,81044.95,0,0,3281.68,565759.84,1178714.94,8546.22,0,371009.69,9075.58,0
Bristol Bay,Egegik,1976,1704895.45,0,0,0,0,0,0,0,0,0,0,0,1289361.41,0,0,0,415534.03,0,0
Bristol Bay,Egegik,1977,2998167.01,0,1443.11,0,0,0,0,35038.05,72017.78,0,0,438.29,1532499.68,1266964.98,0,0,55646.38,34118.74,0
Bristol Bay,Egegik,1978,2078292.47,0,0,0,0,0,0,49637.89,75610.92,186.4,0,12430.27,585164.95,1234294.45,0,0,56930.4,64037.2,0
Bristol Bay,Egegik,1979,2579853.17,0,147.67,0,0,0,0,55085.41,88787.36,0,0,7278.99,1666318.81,724245.7,0,0,23869.2,13973.33,146.7
Bristol Bay,Egegik,1980,3449719.41,0,0,0,0,0,2322.48,381107.07,151116.01,0,0,53443,2234183.06,561289.7,0,0,58938.99,7319.1,0
Bristol Bay,Egegik,1981,4641785.16,0,0,0,0,0,0,823006.34,452344.43,0,0,1845.62,2772401.05,580804.42,0,0,8920.98,2462.32,0
Bristol Bay,Egegik,1982,3785029.68,0,0,0,0,0,2849.18,387998.12,1935491.15,586.07,0,6740.85,628139,820445.39,1089.66,0,0,1690.26,0
Bristol Bay,Egegik,1983,8446307.46,0,0,0,0,0,4869.71,657109.97,422634.68,11696.34,0,2251.37,6590350.23,698974.78,0,0,58420.38,0,0
Bristol Bay,Egegik,1984,5458425.16,0,0,23353.27,6464.6,0,0,706929.19,219730.84,859.61,0,22071.56,1973576.03,2484584.89,0,0,13141.22,7713.94,0
Bristol Bay,Egegik,1985,8331666.16,0,0,0,0,0,1756.19,593439.34,2450118.35,0,0,45078.02,4056129.29,1176188.84,0,363.35,0,8592.79,0
Bristol Bay,Egegik,1986,5506500.13,0,0,896.93,0,0,2413.38,1215619.21,432085.83,4963.21,0,11565.2,2883765.69,948854.16,1570.46,0,4766.07,0,0
Bristol Bay,Egegik,1987,6385229.44,0,0,0,0,0,484.08,1279753.33,1929108.56,3247.13,0,7273.01,1689006.95,1470066.36,0,0,6290.03,0,0
Bristol Bay,Egegik,1988,8117564.38,0,437.41,1314.37,2.55,0,434.78,398395.7,2553114.46,6501.06,0,85549.46,3484607.88,1557303.24,0,0,22289.96,7613.5,0
Bristol Bay,Egegik,1989,9807459.99,0,0,143.68,0,0,1408.97,425954.88,637987.58,6397.34,0,33924.79,5245773.73,3439216.65,0,1895.14,13729.32,1027.91,0
Bristol Bay,Egegik,1990,12605427.23,0,1249.52,2034.8,0,0,0,2415527.11,781317.55,5627.44,0,10806.63,4020182.86,5130350.33,16751.74,0,213206.33,8372.9,0
Bristol Bay,Egegik,1991,9235470.33,0,0,2368.24,0,0,1175.83,699118.62,3246243.19,2769.19,0,69292.09,4062145.45,1102467.01,8675.3,0,4118.73,37096.68,0
Bristol Bay,Egegik,1992,17890992.67,0,0,2318.39,0,0,0,296195.23,4224764.32,68372.94,0,106273.64,8870956.79,4210470.48,0,5631.42,95077.49,10931.97,0
Bristol Bay,Egegik,1993,24250547.86,0,0,0,0,0,0,199211.88,1049593.95,134446.61,0,37449.17,11121318.38,11458635.48,56070.44,0,154845.92,38976.03,0
Bristol Bay,Egegik,1994,12738312.48,955.07,4437.38,0,0,0,1450.21,393971.18,251240.48,5736.63,0,73045.61,5179386.22,6458564.46,44043.88,2127.55,257263.59,66090.21,0
Bristol Bay,Egegik,1995,15374929.54,0,1242.51,741.72,0,0,63.16,1208928.9,729603.4,4115.28,0,18657.04,8809854.65,4242640.53,3860.79,2909.73,189470.88,162840.94,0
Bristol Bay,Egegik,1996,12416197.41,0,0,10943.34,312.36,0,0,239876.58,2874740.52,5081.92,0,38890.87,3223466.05,5980914.37,435.98,0,13130.08,28405.33,0
Bristol Bay,Egegik,1997,7932122.51,0,131.17,0,1620.28,0,7731.61,117628.64,531796.34,25215.06,0,30535.04,4580342.54,2573855.01,32457.55,2397.25,9062.12,19349.89,0
Bristol Bay,Egegik,1998,4689597.35,0,0,0,0,0,3546.45,249363.13,329344.1,2780.66,0,67291.02,800145.24,3190111.53,135.82,0,38919.26,7960.13,0
Bristol Bay,Egegik,1999,6481074.19,0,0,0,0,0,363.42,1495268.14,493716.33,1.39,0,3043.06,3805468.75,653288.02,9411.44,0,1217.83,19295.81,0
Bristol Bay,Egegik,2000,8168699.05,0,0,0,0.42,0,0,412382.56,2696123.58,2.54,0,3483.77,1726750.28,3299275.75,0,0,26806.43,3873.72,0
Bristol Bay,Egegik,2001,3566444.18,0,0,1.98,0,0,1.58,17162.13,1386366.08,18707.38,0,18742.29,542540.18,1539472.47,21866.71,2445.9,11312,7825.48,0
Bristol Bay,Egegik,2002,5544321.67,0,0.39,0,0,0,0,20334.59,177854.74,21943.94,0,12649.33,3493430.97,1749165.39,13866.24,9875.86,30409.31,14790.93,0
Bristol Bay,Egegik,2003,3217355.65,0,0,0,0,0,542.22,162299.81,76433.64,15.52,0,171813.96,490761.38,2069386.18,3087.51,89.16,233786.73,9139.56,0
Bristol Bay,Egegik,2004,11642669.27,0,0,0.47,0,0,0,1302473.62,395983.32,3.03,0,25104.92,9207076.02,654091.75,2145.17,0,15139.16,40651.6,0.21
Bristol Bay,Egegik,2005,9402204.39,0,0,0.52,0,0,27641.41,292655.81,2432554.43,207.32,0,47658.73,3546271.31,3035602.32,954.21,0,18602.32,56.02,0
Bristol Bay,Egegik,2006,8613841.94,0,0,246.45,1765.24,0,19080.61,1450971.28,797157.92,33426.02,0,45866.4,1585956.61,4647480.76,2034.5,0,18902.44,10953.71,0
Bristol Bay,Egegik,2007,7395032.42,0,0,0,0,0,23434.37,1984955.74,2203107.67,458.72,0,41158.69,1050682.29,2059102.15,23089.72,0,919.5,8123.57,0
Bristol Bay,Egegik,2008,7827635.46,0,0,0,0,0,4350.03,2789827.27,2552431.04,1520.44,0,39826.98,1926995.46,511617.57,0,0,561.93,504.74,0
Bristol Bay,Egegik,2009,12269670.95,0,0,0,0,0,7819.5,470725.91,3459265.93,18806.46,0,36928.62,6022979.24,2245895.78,0,2270.43,4979.08,0,0
Bristol Bay,Egegik,2010,5145650.24,0,0,0,0,0,8768.6,144943.02,202329.24,0,0,121161.37,2866201.44,1767627.2,5191.34,739.5,26666.75,2021.77,0
Bristol Bay,Egegik,2011,4604185.02,0,0,0,0,0,317.09,53088.12,253935.81,19.36,0,71868.15,1632027.24,2550952.98,375.1,317.09,33876.22,7407.86,0
Bristol Bay,Egegik,2012,5925626.76,0,0,1041.56,0,0,5486.43,630407.67,429490.27,1720.05,0,58269.88,3377632.46,1370541.09,6192.52,2175.14,29958.4,12711.3,0
Bristol Bay,Egegik,2013,5125755.37,0,0,0,0,0,10191.84,305233.88,1090910.89,13.78,0,122199.47,1104841.67,2457309.12,0,1581.77,21920.2,11552.74,0
Bristol Bay,Egegik,2014,5081311.05,0,7212.43,990.82,0,0,36548.02,537683,488974.67,16.06,0,274215.93,2763497.81,943565.49,4010.98,7959.83,483.56,16152.43,0
Bristol Bay,Egegik,2015,8507572.75,0,0,1969.76,0,0,38196.99,444733.71,671671.93,8427.64,0,532951.36,5984739.95,785871.8,0,18840.55,20169.07,0,0
Bristol Bay,Egegik,2016,9891849.25,0,0,0,0,0,162141.36,1977511.3,1095740.23,0,0,353152.04,3901937.64,2345583.77,0,1227.03,54555.89,0,0
Bristol Bay,Egegik,2017,12441095.33,0,0,0,0,0,102285.98,2859582.09,1278331.31,4106.95,0,88058.61,4775925.41,3275009.23,0,2469.85,42412.79,12913.11,0
Bristol Bay,Egegik,2018,6104312.17,0,0,0,0,0,295277.62,2156590.67,1945680.96,2657.49,0.14,73755.48,467779.95,1137566.6,17.39,1622.34,3721.57,19641.97,0
Bristol Bay,Egegik,2019,15434052.04,0,0,0,0,0,29390.89,11553433.83,2005941.47,17.96,0,66998.66,1280264.22,495688.85,0,0,0,2316.16,0
Bristol Bay,Egegik,2020,15597218.53,0,0,0,0,0,181713.58,1774510.28,12280095.54,0,0,168096.98,993180.68,198213.83,0,0,1407.65,0,0
Bristol Bay,Egegik,2021,7368239.37,0,0,0,0,0,294139.35,3928522.75,222244.91,0,0,366575.24,2276904.22,279852.89,0,0,0,0,0
Bristol Bay,Egegik,2022,18151847.64,0,0,0,0,0,36671.88,5907225.25,4660092.63,4512.02,0,62869.58,6744189.76,736199.31,0,0,87.2,0,0
Bristol Bay,Egegik,2023,14814304.02,0,0,0,0,0,91287.91,265771.62,6441568.51,23654.84,0,140140.58,1017403.95,6832852.76,0,0,1623.84,0,0
Bristol Bay,Egegik,2024,4629742.73,0,0,0,0,0,20734.54,2645110.39,186066.41,24055.24,0,97804.84,1063839,582894.74,8508.74,0,728.84,0,0
Bristol Bay,Egegik,2025,8920130.68,0,0,0,0,0,89278.87,696512.62,3193070.24,129.27,0,130354.4,4142481.09,665265.56,31.84,0,3006.79,0,0
Bristol Bay,Igushik,1963,136350.7,0,0,0,0,0,0,75778.79,37356.73,0,0,0,14002.17,9213.01,0,0,0,0,0
Bristol Bay,Igushik,1964,191054.09,0,0,263.85,0,0,0,41541.88,90589.31,0,0,106.34,45064.43,13488.28,0,0,0,0,0
Bristol Bay,Igushik,1965,297253.09,0,0,78.1,0,0,0,28373.44,225973.25,0,0,0,26634.63,16193.67,0,0,0,0,0
Bristol Bay,Igushik,1966,310078.42,0,0,860.11,0,0,0,16810.87,253124.41,0,0,0,9652.73,29630.3,0,0,0,0,0
Bristol Bay,Igushik,1967,412373.6,0,104.71,292.21,0,0,0,196557.53,200761.54,210.56,0,0,5143.67,9303.37,0,0,0,0,0
Bristol Bay,Igushik,1968,290685.72,0,0,506.85,0,0,299.1,124313.04,137345.66,0,0,261.39,22418.41,5541.26,0,0,0,0,0
Bristol Bay,Igushik,1969,759994.23,0,0,0,0,0,0,319406.43,325005.49,0,0,0,103991,11591.31,0,0,0,0,0
Bristol Bay,Igushik,1970,522005.61,0,356.18,0,0,0,0,54400.73,270050.32,0,0,0,168321.37,28877.01,0,0,0,0,0
Bristol Bay,Igushik,1971,335231.21,0,451.83,429.69,0,0,0,43478.99,232636.8,0,0,0,5391.59,52842.31,0,0,0,0,0
Bristol Bay,Igushik,1972,127964.89,0,0,166.99,0,0,0,48449.77,59860.66,122.03,0,0,10883.9,8481.55,0,0,0,0,0
Bristol Bay,Igushik,1973,113965.85,0,0,88.48,31.23,0,0,829.53,101707.19,58.99,0,0,513.27,10676.44,0,0,0,60.72,0
Bristol Bay,Igushik,1974,430597.4,0,0,321.21,0,0,0,36787.94,107254.42,887.87,0,298.99,278332.38,6714.58,0,0,0,0,0
Bristol Bay,Igushik,1975,357436.72,0,92.91,1291.32,0,0,0,58279.22,144568.44,1386.85,0,0,62987.41,88830.57,0,0,0,0,0
Bristol Bay,Igushik,1976,307997.32,0,0,913.22,0,0,0,93770.54,131521.32,0,0,0,39332.85,42459.4,0,0,0,0,0
Bristol Bay,Igushik,1977,170035.15,0,49.19,1278.99,61.49,0,0,17240.56,117096.71,196.77,0,0,5305.52,28793.62,12.3,0,0,0,0
Bristol Bay,Igushik,1978,845205.12,0,134.24,1355.73,865.6,0,0,412982.63,399007.26,4097.36,0,1369.9,14680.68,10711.72,0,0,0,0,0
Bristol Bay,Igushik,1979,1392465.72,0,0,0,0,0,0,543521.46,589284.89,0,0,0,240732.71,18926.67,0,0,0,0,0
Bristol Bay,Igushik,1980,2393481,0,0,0,0,0,773.45,412827.84,1835021.79,1192.41,0,4261.01,119242.06,20162.43,0,0,0,0,0
Bristol Bay,Igushik,1981,1338130.8,0,0,2917.04,0,0,0,174666.61,741008.26,1199.3,0,0,106555.09,311784.51,0,0,0,0,0
Bristol Bay,Igushik,1982,716737.28,0,0,0,0,0,0,36010.97,585308.29,8896.94,0,0,5599.94,80921.15,0,0,0,0,0
Bristol Bay,Igushik,1983,1187356.79,0,0,196.37,0,0,0,611311.97,368460.02,46620.9,0,0,146031.24,14539.93,196.37,0,0,0,0
Bristol Bay,Igushik,1984,299792.02,0,0,0,0,0,0,14270.17,263564.85,72.94,0,0,10184.31,11699.76,0,0,0,0,0
Bristol Bay,Igushik,1985,643146.43,0,0,0,0,0,0,243467.38,353924.09,0,0,0,34536.66,11078.47,0,0,139.83,0,0
Bristol Bay,Igushik,1986,609140.89,0,1151.04,6543.61,0,0,0,50848.1,502783.46,0,0,0,6742.43,41072.25,0,0,0,0,0
Bristol Bay,Igushik,1987,471444.66,0,0,0,0,0,0,105984.42,272741.46,51416.19,0,0,7066.8,34235.8,0,0,0,0,0
Bristol Bay,Igushik,1988,293251.49,0,0,232.23,27,0,0,30298.42,247075.2,1044.66,0,0,6210.56,8363.41,0,0,0,0,0
Bristol Bay,Igushik,1989,906594.83,0,2705.28,6292.88,0,0,0,395497.52,419160.87,1685.23,0,0,52282.11,28970.95,0,0,0,0,0
Bristol Bay,Igushik,1990,876172.31,0,1606.63,8614.63,0,0,0,157348.04,639187.67,3266.74,0,0,50115.52,16033.09,0,0,0,0,0
Bristol Bay,Igushik,1991,1645838.47,0,0,12589.11,2212.73,0,0,75587.85,1497275.24,5888.64,0,0,9445.28,41159.68,1679.93,0,0,0,0
Bristol Bay,Igushik,1992,470347.58,0,144.84,0,0,0,0,105973.28,338280.67,7474.88,0,0,2144.56,15520.5,808.84,0,0,0,0
Bristol Bay,Igushik,1993,717075.49,0,45.68,2990.51,91.36,0,165.67,213200.35,479542.12,5679.35,0,0,5733.94,9626.5,0,0,0,0,0
Bristol Bay,Igushik,1994,906828.27,0,0,3116.16,0,0,0,138197.88,693503.07,1658.95,0,0,48454.04,21898.17,0,0,0,0,0
Bristol Bay,Igushik,1995,1184424.8,0,0,905.47,0,0,0,170952.82,883940.87,5197.72,0,0,95134.78,28293.15,0,0,0,0,0
Bristol Bay,Igushik,1996,942695.9,0,0,2985.02,0,0,0,30018.23,798731.03,2186.5,0,0,2065.12,106710.01,0,0,0,0,0
Bristol Bay,Igushik,1997,208758.55,0,0,0,0,0,0,100425.51,91713.76,2463.83,0,0,5334.91,8820.53,0,0,0,0,0
Bristol Bay,Igushik,1998,426033.71,0,0,0,0,0,0,163636.99,239150.73,322.66,0,0,13736.67,9186.66,0,0,0,0,0
Bristol Bay,Igushik,1999,859317.75,0,0,0,0,0,0,376061.83,435418.55,0,0,0,42975.86,4861.51,0,0,0,0,0
Bristol Bay,Igushik,2000,982740.23,0,0,0,0,0,0,77031.9,881255.91,1000.86,0,0,6531.08,16920.48,0,0,0,0,0
Bristol Bay,Igushik,2001,818733.37,0,0,1199.15,0,0,0,1926.56,800392.99,5961.03,0,0,807.34,8446.3,0,0,0,0,0
Bristol Bay,Igushik,2002,199683.68,0,0,0,0,0,0,130362.46,51668.33,2786.91,0,0,9522.01,5343.97,0,0,0,0,0
Bristol Bay,Igushik,2003,492184.33,0,0,0,0,0,0,60852.43,393266.12,1857.41,0,66.97,2906.79,33171.48,63.13,0,0,0,0
Bristol Bay,Igushik,2004,268355.56,0,0,0,0,0,0,53303.01,146840.92,2298.22,0,0,58392.84,7520.56,0,0,0,0,0
Bristol Bay,Igushik,2005,801087.33,0,0,0,0,0,0,31827.32,660546.34,0,0,0,12377.29,96336.38,0,0,0,0,0
Bristol Bay,Igushik,2006,727744.17,0,0,0,391.7,0,0,235172.33,442819.63,3390.74,0,0,7801.62,38168.16,0,0,0,0,0
