System,River,BroodYear,Total_Spawners_BroodYear,Total_Recruits,TotRecPerTotSpn
Bristol Bay,Alagnak,1995,550068.15,3896294.91,7.083
Bristol Bay,Alagnak,1996,782212.5,1421299.73,1.817
Bristol Bay,Alagnak,1997,556193.25,1380936,2.483
Bristol Bay,Alagnak,1998,643110,2777780.1399999997,4.319
Bristol Bay,Alagnak,1999,1182180,3715855.26,3.143
Bristol Bay,Alagnak,2000,1150000,9751334.6,8.479
Bristol Bay,Alagnak,2001,680850,1677183.6300000001,2.463
Bristol Bay,Alagnak,2002,767000,3727487.5100000002,4.86
Bristol Bay,Alagnak,2003,3676146,6701447.449999999,1.823
Bristol Bay,Alagnak,2004,5400000,2514459.41,0.466
Bristol Bay,Alagnak,2005,4218990,2839947.7,0.673
Bristol Bay,Alagnak,2006,1773966,2439834.28,1.375
Bristol Bay,Alagnak,2007,2470000,2209579.35,0.895
Bristol Bay,Alagnak,2008,2180502,1924725.4,0.883
Bristol Bay,Alagnak,2009,971000,1405166.25,1.447
Bristol Bay,Alagnak,2010,1190000,6499066.2,5.461
Bristol Bay,Alagnak,2011,883794,6167785.97,6.979
Bristol Bay,Alagnak,2012,861747,2828305.3200000003,3.282
Bristol Bay,Alagnak,2013,1100000,3928289.4400000004,3.571
Bristol Bay,Alagnak,2014,189000,2284292.73,12.086
Bristol Bay,Alagnak,2015,5450000,4685159.15,0.86
Bristol Bay,Alagnak,2016,1677769,5078132.21,3.027
Bristol Bay,Alagnak,2017,2040000,6532354.53,3.202
Bristol Bay,Alagnak,2018,1581426,2348227.72,1.485
Bristol Bay,Alagnak,2019,820000,1784496.05,2.176
Bristol Bay,Alagnak,2020,2386518,NA,NA
Bristol Bay,Alagnak,2021,3240000,NA,NA
Bristol Bay,Alagnak,2022,1668222,NA,NA
Bristol Bay,Alagnak,2023,1099050,NA,NA
Bristol Bay,Alagnak,2024,2356560,NA,NA
Bristol Bay,Alagnak,2025,2157828,NA,NA
Bristol Bay,Egegik,1963,997602,986397.69,0.989
Bristol Bay,Egegik,1964,849576,1933606.01,2.276
Bristol Bay,Egegik,1965,1444608,2364674.6,1.637
Bristol Bay,Egegik,1966,804246,2051596.5,2.551
Bristol Bay,Egegik,1967,636864,1628056.27,2.556
Bristol Bay,Egegik,1968,338654,359434.27,1.061
Bristol Bay,Egegik,1969,1015554,2755727.72,2.714
Bristol Bay,Egegik,1970,919734,1168465.6099999999,1.27
Bristol Bay,Egegik,1971,634014,2636492.53,4.158
Bristol Bay,Egegik,1972,546402,2895928.71,5.3
Bristol Bay,Egegik,1973,328842,1444367.1099999999,4.392
Bristol Bay,Egegik,1974,1275630,2438846.13,1.912
Bristol Bay,Egegik,1975,1173840,3037388.87,2.588
Bristol Bay,Egegik,1976,509160,4480474.68,8.8
Bristol Bay,Egegik,1977,692514,4159896.09,6.007
Bristol Bay,Egegik,1978,895698,9906309.600000001,11.06
Bristol Bay,Egegik,1979,1032042,4038170.83,3.913
Bristol Bay,Egegik,1980,1060860,8222418.16,7.751
Bristol Bay,Egegik,1981,694680,5433972.4,7.822
Bristol Bay,Egegik,1982,1034628,6434047.3,6.219
Bristol Bay,Egegik,1983,792282,10786507.92,13.614
Bristol Bay,Egegik,1984,1165345,11720584.16,10.058
Bristol Bay,Egegik,1985,1095192,6371750.88,5.818
Bristol Bay,Egegik,1986,1150000,14112087.06,12.271
Bristol Bay,Egegik,1987,1270000,25621309.01,20.174
Bristol Bay,Egegik,1988,1610000,19298440.1,11.987
Bristol Bay,Egegik,1989,1610000,10105641.99,6.277
Bristol Bay,Egegik,1990,2190000,16008510.940000001,7.31
Bristol Bay,Egegik,1991,2786925,9940866.37,3.567
Bristol Bay,Egegik,1992,1945632,8638984.32,4.44
Bristol Bay,Egegik,1993,1520000,1932160.26,1.271
Bristol Bay,Egegik,1994,1900000,7949786.73,4.184
Bristol Bay,Egegik,1995,1266692,7494223.78,5.916
Bristol Bay,Egegik,1996,1076460,4149100.55,3.854
Bristol Bay,Egegik,1997,1104004,6020256.4,5.453
Bristol Bay,Egegik,1998,1110938,1269503.62,1.143
Bristol Bay,Egegik,1999,1730000,12991585.459999999,7.51
Bristol Bay,Egegik,2000,1032138,12006756.19,11.633
Bristol Bay,Egegik,2001,968872,4785675.2,4.939
Bristol Bay,Egegik,2002,1036092,5292215.44,5.108
Bristol Bay,Egegik,2003,1150000,8794302.86,7.647
Bristol Bay,Egegik,2004,1290000,14131898.17,10.955
Bristol Bay,Egegik,2005,1621734,6166123.3,3.802
Bristol Bay,Egegik,2006,1465158,3562423.57,2.431
Bristol Bay,Egegik,2007,1430000,6422265.84,4.491
Bristol Bay,Egegik,2008,1260000,3831435.6399999997,3.041
Bristol Bay,Egegik,2009,1150000,4507820.6,3.92
Bristol Bay,Egegik,2010,927000,9898473.68,10.678
Bristol Bay,Egegik,2011,961200,9343849.15,9.721
Bristol Bay,Egegik,2012,1230000,9569532.56,7.78
Bristol Bay,Egegik,2013,1110000,6020572.12,5.424
Bristol Bay,Egegik,2014,1380000,5818459.3,4.216
Bristol Bay,Egegik,2015,2160792,25468839.22,11.787
Bristol Bay,Egegik,2016,1837260,5211945.8100000005,2.837
Bristol Bay,Egegik,2017,2600982,22739225.4,8.743
Bristol Bay,Egegik,2018,1608354,14330885.459999999,8.91
Bristol Bay,Egegik,2019,2340000,2360891.11,1.009
Bristol Bay,Egegik,2020,2389728,NA,NA
Bristol Bay,Egegik,2021,1832196,NA,NA
Bristol Bay,Egegik,2022,1786152,NA,NA
Bristol Bay,Egegik,2023,1562700,NA,NA
Bristol Bay,Egegik,2024,1114008,NA,NA
Bristol Bay,Egegik,2025,1382106,NA,NA
Bristol Bay,Igushik,1963,92184,368205.12,3.994
Bristol Bay,Igushik,1964,128532,583059.49,4.536
Bristol Bay,Igushik,1965,180840,810919.53,4.484
Bristol Bay,Igushik,1966,206360,301032.7,1.459
Bristol Bay,Igushik,1967,281772,125744.85,0.446
Bristol Bay,Igushik,1968,194508,158922.73,0.817
Bristol Bay,Igushik,1969,512328,476722.23,0.931
Bristol Bay,Igushik,1970,370920,287423.39,0.775
Bristol Bay,Igushik,1971,210960,259415.1,1.23
Bristol Bay,Igushik,1972,60018,232049.47,3.866
Bristol Bay,Igushik,1973,59508,451999.76,7.596
Bristol Bay,Igushik,1974,358752,1267129.89,3.532
Bristol Bay,Igushik,1975,241086,2810903.36,11.659
Bristol Bay,Igushik,1976,186120,1354470.29,7.277
Bristol Bay,Igushik,1977,95970,830426.16,8.653
Bristol Bay,Igushik,1978,536154,562274.93,1.049
Bristol Bay,Igushik,1979,859560,896475.7999999999,1.043
Bristol Bay,Igushik,1980,1987530,443803.17000000004,0.223
Bristol Bay,Igushik,1981,591144,838645.26,1.419
Bristol Bay,Igushik,1982,423768,346608.04000000004,0.818
Bristol Bay,Igushik,1983,180438,391104.4,2.168
Bristol Bay,Igushik,1984,184872,521273.46,2.82
Bristol Bay,Igushik,1985,212454,1138141.9100000001,5.357
Bristol Bay,Igushik,1986,307728,1700596.58,5.526
Bristol Bay,Igushik,1987,169236,445514.67,2.633
Bristol Bay,Igushik,1988,170454,614897.82,3.607
Bristol Bay,Igushik,1989,462000,991783.6799999999,2.147
Bristol Bay,Igushik,1990,366000,1229497.55,3.359
Bristol Bay,Igushik,1991,756000,983938.8,1.302
Bristol Bay,Igushik,1992,304920,139561.24,0.458
Bristol Bay,Igushik,1993,406000,358174.42,0.882
Bristol Bay,Igushik,1994,445920,659952.74,1.48
Bristol Bay,Igushik,1995,473000,1278256.1500000001,2.702
Bristol Bay,Igushik,1996,401000,886363.11,2.21
Bristol Bay,Igushik,1997,127704,99344.94,0.778
Bristol Bay,Igushik,1998,215904,536354.15,2.484
Bristol Bay,Igushik,1999,446000,362489.54000000004,0.813
Bristol Bay,Igushik,2000,413000,767785.5399999999,1.859
Bristol Bay,Igushik,2001,409596,490103.46,1.197
Bristol Bay,Igushik,2002,123156,495205.02,4.021
Bristol Bay,Igushik,2003,194088,2088078.28,10.758
Bristol Bay,Igushik,2004,109650,1835420.3699999999,16.739
Bristol Bay,Igushik,2005,366000,1579838.2,4.316
Bristol Bay,Igushik,2006,305268,1005266.38,3.293
Bristol Bay,Igushik,2007,415452,608648.36,1.465
Bristol Bay,Igushik,2008,1050000,663845.71,0.632
Bristol Bay,Igushik,2009,514188,942097.31,1.832
Bristol Bay,Igushik,2010,518040,1714570.3499999999,3.31
Bristol Bay,Igushik,2011,421380,1985101.23,4.711
Bristol Bay,Igushik,2012,193326,686078.8,3.549
Bristol Bay,Igushik,2013,387000,2092761.8800000001,5.408
Bristol Bay,Igushik,2014,341000,1857204.2800000003,5.446
Bristol Bay,Igushik,2015,651000,953949.54,1.465
Bristol Bay,Igushik,2016,469000,1510466.45,3.221
Bristol Bay,Igushik,2017,578700,3355919.2399999998,5.799
Bristol Bay,Igushik,2018,771000,1723576.1,2.236
Bristol Bay,Igushik,2019,256074,785268.03,3.067
Bristol Bay,Igushik,2020,323814,NA,NA
Bristol Bay,Igushik,2021,878952,NA,NA
Bristol Bay,Igushik,2022,378768,NA,NA
Bristol Bay,Igushik,2023,542496,NA,NA
Bristol Bay,Igushik,2024,692616,NA,NA
Bristol Bay,Igushik,2025,668268,NA,NA
Bristol Bay,Kvichak,1963,338760,1374314.16,4.057
Bristol Bay,Kvichak,1964,957120,5762447.0200000005,6.021
Bristol Bay,Kvichak,1965,24325926,45820688.67,1.884
Bristol Bay,Kvichak,1966,3755185,6520939.7,1.737
Bristol Bay,Kvichak,1967,3216208,1784047.99,0.555
Bristol Bay,Kvichak,1968,2557440,633378.5299999999,0.248
Bristol Bay,Kvichak,1969,8394204,5513626.37,0.657
Bristol Bay,Kvichak,1970,13935306,15363296.49,1.102
Bristol Bay,Kvichak,1971,2387392,2036285.13,0.853
Bristol Bay,Kvichak,1972,1009962,3248671.18,3.217
Bristol Bay,Kvichak,1973,226554,2203241.19,9.725
Bristol Bay,Kvichak,1974,4433844,25784407.3,5.815
Bristol Bay,Kvichak,1975,13140450,37439011.06,2.849
Bristol Bay,Kvichak,1976,1965282,10716322.99,5.453
Bristol Bay,Kvichak,1977,1341144,3089502.4,2.304
Bristol Bay,Kvichak,1978,4149288,5053270.6899999995,1.218
Bristol Bay,Kvichak,1979,11218434,43049769.85,3.837
Bristol Bay,Kvichak,1980,22505268,12597312.729999999,0.56
Bristol Bay,Kvichak,1981,1754358,2048788.63,1.168
Bristol Bay,Kvichak,1982,1134840,1509245.5899999999,1.33
Bristol Bay,Kvichak,1983,3569982,13767360.93,3.856
Bristol Bay,Kvichak,1984,10490670,23287184.529999997,2.22
Bristol Bay,Kvichak,1985,7211046,18304271.419999998,2.538
Bristol Bay,Kvichak,1986,1179322,4114460.43,3.489
Bristol Bay,Kvichak,1987,6065880,11648130.47,1.92
Bristol Bay,Kvichak,1988,4065216,9205714.459999999,2.265
Bristol Bay,Kvichak,1989,8317500,24800932.68,2.982
Bristol Bay,Kvichak,1990,6970020,26297541.740000002,3.773
Bristol Bay,Kvichak,1991,4222788,4637249.71,1.098
Bristol Bay,Kvichak,1992,4725864,1875602.79,0.397
Bristol Bay,Kvichak,1993,4025166,3130469.75,0.778
Bristol Bay,Kvichak,1994,8355936,7302962.43,0.874
Bristol Bay,Kvichak,1995,10038720,10635266.76,1.059
Bristol Bay,Kvichak,1996,1450000,2260537.26,1.559
Bristol Bay,Kvichak,1997,1500000,816118.92,0.544
Bristol Bay,Kvichak,1998,2296074,1254499.8800000001,0.546
Bristol Bay,Kvichak,1999,6196914,7378713.59,1.191
Bristol Bay,Kvichak,2000,1827780,4261674.609999999,2.332
Bristol Bay,Kvichak,2001,1095348,4421264.71,4.036
Bristol Bay,Kvichak,2002,703884,3881254.32,5.514
Bristol Bay,Kvichak,2003,1690000,4966630.41,2.939
Bristol Bay,Kvichak,2004,5500134,10919651.86,1.985
Bristol Bay,Kvichak,2005,2320332,9581681.98,4.129
Bristol Bay,Kvichak,2006,3068226,8314960.03,2.71
Bristol Bay,Kvichak,2007,2810208,12783778.34,4.549
Bristol Bay,Kvichak,2008,2757912,6579393.18,2.386
Bristol Bay,Kvichak,2009,2270000,12895286.84,5.681
Bristol Bay,Kvichak,2010,4207410,25777813.63,6.127
Bristol Bay,Kvichak,2011,2260000,8129624.91,3.597
Bristol Bay,Kvichak,2012,4164444,11800934.32,2.834
Bristol Bay,Kvichak,2013,2090000,6591646.78,3.154
Bristol Bay,Kvichak,2014,4460000,6661126.08,1.494
Bristol Bay,Kvichak,2015,7348572,13183329.23,1.794
Bristol Bay,Kvichak,2016,4462728,5312122.77,1.19
Bristol Bay,Kvichak,2017,3163404,14774893.26,4.671
Bristol Bay,Kvichak,2018,4398708,12715432.17,2.891
Bristol Bay,Kvichak,2019,2371242,3462610.23,1.46
Bristol Bay,Kvichak,2020,4030000,NA,NA
Bristol Bay,Kvichak,2021,4703520,NA,NA
Bristol Bay,Kvichak,2022,4224882,NA,NA
Bristol Bay,Kvichak,2023,3751686,NA,NA
Bristol Bay,Kvichak,2024,6644490,NA,NA
Bristol Bay,Kvichak,2025,2968128,NA,NA
Bristol Bay,Naknek,1963,905358,1706836.11,1.885
Bristol Bay,Naknek,1964,1349604,2223530.82,1.648
Bristol Bay,Naknek,1965,717798,2654768.45,3.698
Bristol Bay,Naknek,1966,1016445,4205103.84,4.137
Bristol Bay,Naknek,1967,755640,1551711.89,2.054
Bristol Bay,Naknek,1968,1023222,638312.1,0.624
Bristol Bay,Naknek,1969,1331202,2137344.5,1.606
Bristol Bay,Naknek,1970,732502,2533579.24,3.459
Bristol Bay,Naknek,1971,935754,4316080.37,4.612
Bristol Bay,Naknek,1972,586518,1708870.95,2.914
Bristol Bay,Naknek,1973,356676,2742668.65,7.69
Bristol Bay,Naknek,1974,1241058,2642513.16,2.129
Bristol Bay,Naknek,1975,2026686,5190961.73,2.561
Bristol Bay,Naknek,1976,1320750,8978110.92,6.798
Bristol Bay,Naknek,1977,1085856,3718172.2699999996,3.424
Bristol Bay,Naknek,1978,813378,2788295.35,3.428
Bristol Bay,Naknek,1979,925362,3963588.6799999997,4.283
Bristol Bay,Naknek,1980,2644698,4928974.14,1.864
Bristol Bay,Naknek,1981,1796220,4699370.06,2.616
Bristol Bay,Naknek,1982,1155552,1840909.34,1.593
Bristol Bay,Naknek,1983,888294,1482525.75,1.669
Bristol Bay,Naknek,1984,1242474,4488330.359999999,3.612
Bristol Bay,Naknek,1985,1849938,7217736.16,3.902
Bristol Bay,Naknek,1986,1977645,12702146.15,6.423
Bristol Bay,Naknek,1987,1061806,5522412,5.201
Bristol Bay,Naknek,1988,1037862,3022540.6,2.912
Bristol Bay,Naknek,1989,1161984,3133263.11,2.696
Bristol Bay,Naknek,1990,2092578,3981462.7399999998,1.903
Bristol Bay,Naknek,1991,3578508,4627780.9,1.293
Bristol Bay,Naknek,1992,1606650,1481552.8,0.922
Bristol Bay,Naknek,1993,1535658,2704804.13,1.761
Bristol Bay,Naknek,1994,990810,2393479.64,2.416
Bristol Bay,Naknek,1995,1111140,5924173.95,5.332
Bristol Bay,Naknek,1996,1078098,6470325.45,6.002
Bristol Bay,Naknek,1997,1025664,3455406.2800000003,3.369
Bristol Bay,Naknek,1998,1202172,3869576.77,3.219
Bristol Bay,Naknek,1999,1625364,3760262.9699999997,2.313
Bristol Bay,Naknek,2000,1375488,9024558.27,6.561
Bristol Bay,Naknek,2001,1830000,4629994,2.53
Bristol Bay,Naknek,2002,1263918,5758489.33,4.556
Bristol Bay,Naknek,2003,1831170,12393925.55,6.768
Bristol Bay,Naknek,2004,1939674,4302577.77,2.218
Bristol Bay,Naknek,2005,2744622,5379862.99,1.96
Bristol Bay,Naknek,2006,1953228,4904839.5600000005,2.511
Bristol Bay,Naknek,2007,2945304,4635004.15,1.574
Bristol Bay,Naknek,2008,2472690,3267803.38,1.322
Bristol Bay,Naknek,2009,1169466,1913597.14,1.636
Bristol Bay,Naknek,2010,1463928,7421255.25,5.069
Bristol Bay,Naknek,2011,1177074,5086046.36,4.321
Bristol Bay,Naknek,2012,900312,5422197.100000001,6.023
Bristol Bay,Naknek,2013,938160,6508686.79,6.938
Bristol Bay,Naknek,2014,1474428,6502892.58,4.41
Bristol Bay,Naknek,2015,1920954,13143024.47,6.842
Bristol Bay,Naknek,2016,1691910,5364756.24,3.171
Bristol Bay,Naknek,2017,1899972,8510222.73,4.479
Bristol Bay,Naknek,2018,2221152,7860060.16,3.539
Bristol Bay,Naknek,2019,2911470,2861469.9899999998,0.983
Bristol Bay,Naknek,2020,4112160,NA,NA
Bristol Bay,Naknek,2021,2796534,NA,NA
Bristol Bay,Naknek,2022,1921296,NA,NA
Bristol Bay,Naknek,2023,1156206,NA,NA
Bristol Bay,Naknek,2024,926112,NA,NA
Bristol Bay,Naknek,2025,1042152,NA,NA
Bristol Bay,Nushagak,1963,234820.8,214840.58000000002,0.915
Bristol Bay,Nushagak,1964,134852.63,93342.34,0.692
Bristol Bay,Nushagak,1965,255793.5,779753.6900000001,3.048
Bristol Bay,Nushagak,1966,233577.61,701565.6799999999,3.004
Bristol Bay,Nushagak,1967,74002.82,227033.09,3.068
Bristol Bay,Nushagak,1968,142360.42,344179.47000000003,2.418
Bristol Bay,Nushagak,1969,95805.05,493692.39,5.153
Bristol Bay,Nushagak,1970,452891.76,988763.64,2.183
Bristol Bay,Nushagak,1971,312699.18,1010998.91,3.233
Bristol Bay,Nushagak,1972,39850.56,1147979.9,28.807
Bristol Bay,Nushagak,1973,210600.77,1380189.19,6.554
Bristol Bay,Nushagak,1974,204190.17,383622.79000000004,1.879
Bristol Bay,Nushagak,1975,832092.6,5995148.819999999,7.205
Bristol Bay,Nushagak,1976,520302.59,4351923.96,8.364
Bristol Bay,Nushagak,1977,611588.36,3236088.5700000003,5.291
Bristol Bay,Nushagak,1978,734040.08,1513724.71,2.062
Bristol Bay,Nushagak,1979,551271.66,1846152.6199999999,3.349
Bristol Bay,Nushagak,1980,3669136.41,1210265.7,0.33
Bristol Bay,Nushagak,1981,1118872.88,1976183.95,1.766
Bristol Bay,Nushagak,1982,664579.77,1335148.51,2.009
Bristol Bay,Nushagak,1983,446845.05,1548737.91,3.466
Bristol Bay,Nushagak,1984,655739.2,761247.35,1.161
Bristol Bay,Nushagak,1985,551319.22,1416869.94,2.57
Bristol Bay,Nushagak,1986,1095241.26,2091754.0799999998,1.91
Bristol Bay,Nushagak,1987,429181.61,1903501.3499999999,4.435
Bristol Bay,Nushagak,1988,534459.88,2557338.63,4.785
Bristol Bay,Nushagak,1989,567863.34,1398722.07,2.463
Bristol Bay,Nushagak,1990,752513.14,1183336.96,1.573
Bristol Bay,Nushagak,1991,544748.25,1491481.63,2.738
Bristol Bay,Nushagak,1992,768816.14,1212574.1,1.577
Bristol Bay,Nushagak,1993,790926.96,1074278.1800000002,1.358
Bristol Bay,Nushagak,1994,563334.12,425915.19,0.756
Bristol Bay,Nushagak,1995,311136.35,1198477.04,3.852
Bristol Bay,Nushagak,1996,557057.35,2335512.44,4.193
Bristol Bay,Nushagak,1997,412591.04,541160.2899999999,1.312
Bristol Bay,Nushagak,1998,507532.27,2665498.34,5.252
Bristol Bay,Nushagak,1999,344972.27,1753729.55,5.084
Bristol Bay,Nushagak,2000,446286.5,3933358.43,8.814
Bristol Bay,Nushagak,2001,897112.18,2662480.1399999997,2.968
Bristol Bay,Nushagak,2002,349155.31,2083235.3,5.967
Bristol Bay,Nushagak,2003,642092.9,2197158.49,3.422
Bristol Bay,Nushagak,2004,543872.27,1836175.6600000001,3.376
Bristol Bay,Nushagak,2005,1106703,1418241.4,1.282
Bristol Bay,Nushagak,2006,548410,1237592.94,2.257
Bristol Bay,Nushagak,2007,518041,912135.91,1.761
Bristol Bay,Nushagak,2008,492546,2169869.7800000003,4.405
Bristol Bay,Nushagak,2009,484149,1285173.3,2.654
Bristol Bay,Nushagak,2010,468696,2452553.92,5.233
Bristol Bay,Nushagak,2011,428191,2428916.73,5.673
Bristol Bay,Nushagak,2012,432438,5114328.84,11.827
Bristol Bay,Nushagak,2013,894148,11990241.59,13.41
Bristol Bay,Nushagak,2014,618477,4869879.5,7.874
Bristol Bay,Nushagak,2015,796684,2469476.26,3.1
Bristol Bay,Nushagak,2016,680512,8317064.829999999,12.222
Bristol Bay,Nushagak,2017,2852308,23459279.919999998,8.225
Bristol Bay,Nushagak,2018,1247460,6531362.7700000005,5.236
Bristol Bay,Nushagak,2019,709431,1462633.72,2.062
Bristol Bay,Nushagak,2020,1228059,NA,NA
Bristol Bay,Nushagak,2021,4697299,NA,NA
Bristol Bay,Nushagak,2022,3455272,NA,NA
Bristol Bay,Nushagak,2023,1772676,NA,NA
Bristol Bay,Nushagak,2024,1708693,NA,NA
Bristol Bay,Nushagak,2025,3260590,NA,NA
Bristol Bay,Ugashik,1963,388254,132741.12,0.342
Bristol Bay,Ugashik,1964,472770,274438.34,0.58
Bristol Bay,Ugashik,1965,996612,392954.45999999996,0.394
Bristol Bay,Ugashik,1966,704436,2388187.35,3.39
Bristol Bay,Ugashik,1967,238830,230236.51,0.964
Bristol Bay,Ugashik,1968,70896,44949.78,0.634
Bristol Bay,Ugashik,1969,160380,89242.8,0.556
Bristol Bay,Ugashik,1970,735024,354957.64999999997,0.483
Bristol Bay,Ugashik,1971,529752,933113.6100000001,1.761
Bristol Bay,Ugashik,1972,79428,273670.85000000003,3.446
Bristol Bay,Ugashik,1973,38988,102308.23,2.624
Bristol Bay,Ugashik,1974,61854,757906.5900000001,12.253
Bristol Bay,Ugashik,1975,429336,4125043.44,9.608
Bristol Bay,Ugashik,1976,356308,5799361.390000001,16.276
Bristol Bay,Ugashik,1977,201520,2851872.33,14.152
Bristol Bay,Ugashik,1978,82435,1194447.88,14.49
Bristol Bay,Ugashik,1979,1706904,6475977.17,3.794
Bristol Bay,Ugashik,1980,3335284,8061614.32,2.417
Bristol Bay,Ugashik,1981,1327699,7975585.97,6.007
Bristol Bay,Ugashik,1982,1185551,2357324.2199999997,1.988
Bristol Bay,Ugashik,1983,1001364,1789219.79,1.787
Bristol Bay,Ugashik,1984,1270318,5527548.47,4.351
Bristol Bay,Ugashik,1985,1006407,2817755.82,2.8
Bristol Bay,Ugashik,1986,1015582,7125068.21,7.016
Bristol Bay,Ugashik,1987,686894,7124866.14,10.373
Bristol Bay,Ugashik,1988,654412,5535304.34,8.458
Bristol Bay,Ugashik,1989,1713287,4912241.47,2.867
Bristol Bay,Ugashik,1990,749478,3857005.87,5.146
Bristol Bay,Ugashik,1991,2482016,6677092.31,2.69
Bristol Bay,Ugashik,1992,2194927,3120189.7199999997,1.422
Bristol Bay,Ugashik,1993,1413454,1357162.56,0.96
Bristol Bay,Ugashik,1994,1095068,1583758.2,1.446
Bristol Bay,Ugashik,1995,1321108,5772966.65,4.37
Bristol Bay,Ugashik,1996,692167,1353381.71,1.955
Bristol Bay,Ugashik,1997,656641,3023007.19,4.604
Bristol Bay,Ugashik,1998,924853,1247106.5999999999,1.348
Bristol Bay,Ugashik,1999,1662042,3670964.61,2.209
Bristol Bay,Ugashik,2000,638420,4355277.84,6.822
Bristol Bay,Ugashik,2001,866368,2183330.94,2.52
Bristol Bay,Ugashik,2002,905584,4599328.42,5.079
Bristol Bay,Ugashik,2003,790202,6373081.6,8.065
Bristol Bay,Ugashik,2004,815104,4531615.86,5.56
Bristol Bay,Ugashik,2005,799612,5262397.52,6.581
Bristol Bay,Ugashik,2006,1003158,3402249.64,3.392
Bristol Bay,Ugashik,2007,2599186,3140558.18,1.208
Bristol Bay,Ugashik,2008,596332,3163445.29,5.305
Bristol Bay,Ugashik,2009,1364338,981752.15,0.72
Bristol Bay,Ugashik,2010,830886,2113275.43,2.543
Bristol Bay,Ugashik,2011,1029853,6740964.45,6.546
Bristol Bay,Ugashik,2012,670578,5917714.57,8.825
Bristol Bay,Ugashik,2013,898110,5990615.9799999995,6.67
Bristol Bay,Ugashik,2014,640158,4326718.79,6.759
Bristol Bay,Ugashik,2015,1564638,4144727.54,2.649
Bristol Bay,Ugashik,2016,1635270,7154922.65,4.375
Bristol Bay,Ugashik,2017,1186446,13919953.28,11.732
Bristol Bay,Ugashik,2018,1167792,4586160.31,3.927
Bristol Bay,Ugashik,2019,1547748,1513298.1800000002,0.978
Bristol Bay,Ugashik,2020,1745940,NA,NA
Bristol Bay,Ugashik,2021,2859930,NA,NA
Bristol Bay,Ugashik,2022,1436784,NA,NA
Bristol Bay,Ugashik,2023,1128896,NA,NA
Bristol Bay,Ugashik,2024,1759776,NA,NA
Bristol Bay,Ugashik,2025,1041048,NA,NA
Bristol Bay,Wood,1963,721404,1632021.53,2.262
Bristol Bay,Wood,1964,1076112,1286902.77,1.196
Bristol Bay,Wood,1965,675156,2021718.75,2.994
Bristol Bay,Wood,1966,1208682,2290215.04,1.895
Bristol Bay,Wood,1967,515772,1054263.49,2.044
Bristol Bay,Wood,1968,649344,1154367.1600000001,1.778
Bristol Bay,Wood,1969,604338,989847.97,1.638
Bristol Bay,Wood,1970,1161964,2648101.64,2.279
Bristol Bay,Wood,1971,851202,1425140.38,1.674
Bristol Bay,Wood,1972,430602,1338679.26,3.109
Bristol Bay,Wood,1973,330474,1460260.5,4.419
Bristol Bay,Wood,1974,1708836,5893430.32,3.449
Bristol Bay,Wood,1975,1270116,6290687.42,4.953
Bristol Bay,Wood,1976,817008,6587187.19,8.063
Bristol Bay,Wood,1977,561828,3824312.5999999996,6.807
Bristol Bay,Wood,1978,2267238,3117206.81,1.375
Bristol Bay,Wood,1979,1706352,4154668.58,2.435
Bristol Bay,Wood,1980,2969040,1471792.13,0.496
Bristol Bay,Wood,1981,1233318,2231913.48,1.81
Bristol Bay,Wood,1982,976470,2085370.56,2.136
