System,River,ReturnYear,Total_Returns,AgeClass_0.1,AgeClass_0.2,AgeClass_1.1,AgeClass_0.3,AgeClass_1.2,AgeClass_2.1,AgeClass_0.4,AgeClass_1.3,AgeClass_2.2,AgeClass_1.4,AgeClass_2.3,AgeClass_3.2,AgeClass_1.5
Fraser River,Quesnel,1989,12137705,0,0,41,23700,12137664,0,0,0,0,0,0,0,0
Fraser River,Quesnel,1990,2716516,0,0,11,0,2364628,0,0,334171,17706,0,0,0,0
Fraser River,Quesnel,1991,287552,0,0,0,0,119437,0,0,168115,0,0,993,0,0
Fraser River,Quesnel,1992,93903,0,2122,10417,0,26342,0,0,57144,0,0,0,0,0
Fraser River,Quesnel,1993,10340029,0,0,585,0,10339444,51,0,0,0,0,0,0,0
Fraser River,Quesnel,1994,3236300,0,0,26,0,2946813,0,0,280053,9408,0,0,0,0
Fraser River,Quesnel,1995,436433,0,0,1,0,100196,0,0,336236,0,0,0,0,0
Fraser River,Quesnel,1996,81808,0,282,1642,0,29213,0,0,50671,282,0,0,0,0
Fraser River,Quesnel,1997,6446284,0,0,248,0,6446036,0,0,0,0,0,0,0,0
Fraser River,Quesnel,1998,2666551,0,0,0,0,2263471,0,0,398551,4529,0,0,0,0
Fraser River,Quesnel,1999,332450,0,0,0,0,119078,0,0,212902,470,0,0,0,0
Fraser River,Quesnel,2000,116213,0,1589,79,0,67906,0,0,48228,0,0,0,0,0
Fraser River,Quesnel,2001,4381602,0,0,56,0,4358762,0,0,19609,3175,0,0,0,0
Fraser River,Quesnel,2002,4800147,0,0,0,0,4467804,0,0,318446,13897,0,0,0,0
Fraser River,Quesnel,2003,853991,0,0,0,0,581976,0,0,272015,0,0,0,0,0
Fraser River,Quesnel,2004,266795,0,4927,42,0,38143,0,0,228610,0,0,0,0,0
Fraser River,Quesnel,2005,3592160,0,0,38,0,3576455,0,0,15667,0,0,0,0,0
Fraser River,Quesnel,2006,723165,0,0,0,0,603583,0,0,115416,4166,0,0,0,0
Fraser River,Quesnel,2007,119068,0,0,0,0,82424,0,0,36207,437,0,0,0,0
Fraser River,Quesnel,2008,67997,0,0,0,164,6545,0,0,60604,848,0,0,0,0
Fraser River,Quesnel,2009,203748,0,169,67,0,198574,17,0,5107,0,0,0,0,0
Fraser River,Quesnel,2010,604145,0,0,23,0,585765,0,0,15503,2854,0,0,0,0
Fraser River,Quesnel,2011,121611,0,0,0,0,79347,0,0,42264,0,0,190,0,0
Fraser River,Quesnel,2012,1416,0,0,24,0,801,0,0,578,13,0,0,0,0
Fraser River,Quesnel,2013,306298,0,0,3480,173,296378,0,0,6267,173,0,0,0,0
Fraser River,Quesnel,2014,2518906,0,0,42,0,2495332,60,0,23532,0,0,0,0,0
Fraser River,Quesnel,2015,67128,0,0,1,0,37396,0,0,29220,511,0,0,0,0
Fraser River,Quesnel,2016,4662,0,0,383,0,295,0,0,3984,0,0,0,0,0
Fraser River,Quesnel,2017,145779,0,0,1846,0,143727,0,0,206,0,0,0,0,0
Fraser River,Quesnel,2018,2138731,0,0,0,0,2130254,0,0,8477,0,0,0,0,0
