System,River,ReturnYear,Total_Returns,Label,ReturnsByAgeClass,Age,FW_Winters,Mar_Winters,Euro,GR,GRShort,BroodYear,RecruitsByAgeClass,MarineEntryYear,Total_Recruits,PercOfBrdYr,Total_Spawners_BroodYear,TotRecPerTotSpn
Fraser River,Chilko,1952,NA,AgeClass_1.4,NA,6,1,4,1.4,6_2,62,1946,NA,1948,NA,NA,NA,NA
Fraser River,Chilko,1952,NA,AgeClass_2.3,NA,6,2,3,2.3,6_3,63,1946,NA,1949,NA,NA,NA,NA
Fraser River,Chilko,1952,NA,AgeClass_3.2,NA,6,3,2,3.2,6_4,64,1946,NA,1950,NA,NA,NA,NA
Fraser River,Chilko,1952,NA,AgeClass_0.4,NA,5,0,4,0.4,5_1,51,1947,NA,1948,NA,NA,NA,NA
Fraser River,Chilko,1952,NA,AgeClass_1.3,NA,5,1,3,1.3,5_2,52,1947,NA,1949,NA,NA,NA,NA
Fraser River,Chilko,1952,NA,AgeClass_2.2,0,5,2,2,2.2,5_3,53,1947,0,1950,NA,NA,NA,NA
Fraser River,Chilko,1952,NA,AgeClass_0.3,0,4,0,3,0.3,4_1,41,1948,0,1949,1947973,0,671025,2.903
Fraser River,Chilko,1952,NA,AgeClass_1.2,1643062,4,1,2,1.2,4_2,42,1948,1643062,1950,1947973,84.35,671025,2.903
Fraser River,Chilko,1952,NA,AgeClass_2.1,6131,4,2,1,2.1,4_3,43,1948,6131,1951,1947973,0.31,671025,2.903
Fraser River,Chilko,1952,NA,AgeClass_0.2,0,3,0,2,0.2,3_1,31,1949,0,1950,623138,0,58310,10.687
Fraser River,Chilko,1952,NA,AgeClass_1.1,3732,3,1,1,1.1,3_2,32,1949,3732,1951,623138,0.6,58310,10.687
Fraser River,Chilko,1952,NA,AgeClass_0.1,0,2,0,1,0.1,2_1,21,1950,0,1951,205875,0,26447,7.784
Fraser River,Chilko,1953,827622,AgeClass_1.5,NA,7,1,5,1.5,7_2,72,1946,NA,1948,NA,NA,NA,NA
Fraser River,Chilko,1953,827622,AgeClass_1.4,NA,6,1,4,1.4,6_2,62,1947,NA,1949,NA,NA,NA,NA
Fraser River,Chilko,1953,827622,AgeClass_2.3,NA,6,2,3,2.3,6_3,63,1947,NA,1950,NA,NA,NA,NA
Fraser River,Chilko,1953,827622,AgeClass_3.2,NA,6,3,2,3.2,6_4,64,1947,NA,1951,NA,NA,NA,NA
Fraser River,Chilko,1953,827622,AgeClass_0.4,0,5,0,4,0.4,5_1,51,1948,0,1949,1947973,0,671025,2.903
Fraser River,Chilko,1953,827622,AgeClass_1.3,11182,5,1,3,1.3,5_2,52,1948,11182,1950,1947973,0.57,671025,2.903
Fraser River,Chilko,1953,827622,AgeClass_2.2,254316,5,2,2,2.2,5_3,53,1948,254316,1951,1947973,13.06,671025,2.903
Fraser River,Chilko,1953,827622,AgeClass_0.3,0,4,0,3,0.3,4_1,41,1949,0,1950,623138,0,58310,10.687
Fraser River,Chilko,1953,827622,AgeClass_1.2,560635,4,1,2,1.2,4_2,42,1949,560635,1951,623138,89.97,58310,10.687
Fraser River,Chilko,1953,827622,AgeClass_2.1,621,4,2,1,2.1,4_3,43,1949,621,1952,623138,0.1,58310,10.687
Fraser River,Chilko,1953,827622,AgeClass_0.2,0,3,0,2,0.2,3_1,31,1950,0,1951,205875,0,26447,7.784
Fraser River,Chilko,1953,827622,AgeClass_1.1,1489,3,1,1,1.1,3_2,32,1950,1489,1952,205875,0.72,26447,7.784
Fraser River,Chilko,1953,827622,AgeClass_0.1,0,2,0,1,0.1,2_1,21,1951,0,1952,752327,0,118110,6.37
Fraser River,Chilko,1954,243929,AgeClass_1.5,NA,7,1,5,1.5,7_2,72,1947,NA,1949,NA,NA,NA,NA
Fraser River,Chilko,1954,243929,AgeClass_1.4,0,6,1,4,1.4,6_2,62,1948,0,1950,1947973,0,671025,2.903
Fraser River,Chilko,1954,243929,AgeClass_2.3,1282,6,2,3,2.3,6_3,63,1948,1282,1951,1947973,0.07,671025,2.903
Fraser River,Chilko,1954,243929,AgeClass_3.2,0,6,3,2,3.2,6_4,64,1948,0,1952,1947973,0,671025,2.903
Fraser River,Chilko,1954,243929,AgeClass_0.4,0,5,0,4,0.4,5_1,51,1949,0,1950,623138,0,58310,10.687
Fraser River,Chilko,1954,243929,AgeClass_1.3,10368,5,1,3,1.3,5_2,52,1949,10368,1951,623138,1.66,58310,10.687
Fraser River,Chilko,1954,243929,AgeClass_2.2,46358,5,2,2,2.2,5_3,53,1949,46358,1952,623138,7.44,58310,10.687
Fraser River,Chilko,1954,243929,AgeClass_0.3,0,4,0,3,0.3,4_1,41,1950,0,1951,205875,0,26447,7.784
Fraser River,Chilko,1954,243929,AgeClass_1.2,183278,4,1,2,1.2,4_2,42,1950,183278,1952,205875,89.02,26447,7.784
Fraser River,Chilko,1954,243929,AgeClass_2.1,954,4,2,1,2.1,4_3,43,1950,954,1953,205875,0.46,26447,7.784
Fraser River,Chilko,1954,243929,AgeClass_0.2,0,3,0,2,0.2,3_1,31,1951,0,1952,752327,0,118110,6.37
Fraser River,Chilko,1954,243929,AgeClass_1.1,3925,3,1,1,1.1,3_2,32,1951,3925,1953,752327,0.52,118110,6.37
Fraser River,Chilko,1954,243929,AgeClass_0.1,0,2,0,1,0.1,2_1,21,1952,0,1953,1858476,0,490065,3.792
Fraser River,Chilko,1955,683797,AgeClass_1.5,0,7,1,5,1.5,7_2,72,1948,0,1950,1947973,0,671025,2.903
Fraser River,Chilko,1955,683797,AgeClass_1.4,0,6,1,4,1.4,6_2,62,1949,0,1951,623138,0,58310,10.687
Fraser River,Chilko,1955,683797,AgeClass_2.3,1424,6,2,3,2.3,6_3,63,1949,1424,1952,623138,0.23,58310,10.687
Fraser River,Chilko,1955,683797,AgeClass_3.2,0,6,3,2,3.2,6_4,64,1949,0,1953,623138,0,58310,10.687
Fraser River,Chilko,1955,683797,AgeClass_0.4,0,5,0,4,0.4,5_1,51,1950,0,1951,205875,0,26447,7.784
Fraser River,Chilko,1955,683797,AgeClass_1.3,4705,5,1,3,1.3,5_2,52,1950,4705,1952,205875,2.29,26447,7.784
Fraser River,Chilko,1955,683797,AgeClass_2.2,15449,5,2,2,2.2,5_3,53,1950,15449,1953,205875,7.5,26447,7.784
Fraser River,Chilko,1955,683797,AgeClass_0.3,0,4,0,3,0.3,4_1,41,1951,0,1952,752327,0,118110,6.37
Fraser River,Chilko,1955,683797,AgeClass_1.2,644911,4,1,2,1.2,4_2,42,1951,644911,1953,752327,85.72,118110,6.37
Fraser River,Chilko,1955,683797,AgeClass_2.1,5004,4,2,1,2.1,4_3,43,1951,5004,1954,752327,0.67,118110,6.37
Fraser River,Chilko,1955,683797,AgeClass_0.2,0,3,0,2,0.2,3_1,31,1952,0,1953,1858476,0,490065,3.792
Fraser River,Chilko,1955,683797,AgeClass_1.1,18732,3,1,1,1.1,3_2,32,1952,18732,1954,1858476,1.01,490065,3.792
Fraser River,Chilko,1955,683797,AgeClass_0.1,0,2,0,1,0.1,2_1,21,1953,0,1954,619456,0,201245,3.078
Fraser River,Chilko,1956,1859979,AgeClass_1.5,0,7,1,5,1.5,7_2,72,1949,0,1951,623138,0,58310,10.687
Fraser River,Chilko,1956,1859979,AgeClass_1.4,0,6,1,4,1.4,6_2,62,1950,0,1952,205875,0,26447,7.784
Fraser River,Chilko,1956,1859979,AgeClass_2.3,0,6,2,3,2.3,6_3,63,1950,0,1953,205875,0,26447,7.784
Fraser River,Chilko,1956,1859979,AgeClass_3.2,0,6,3,2,3.2,6_4,64,1950,0,1954,205875,0,26447,7.784
Fraser River,Chilko,1956,1859979,AgeClass_0.4,0,5,0,4,0.4,5_1,51,1951,0,1952,752327,0,118110,6.37
Fraser River,Chilko,1956,1859979,AgeClass_1.3,20763,5,1,3,1.3,5_2,52,1951,20763,1953,752327,2.76,118110,6.37
Fraser River,Chilko,1956,1859979,AgeClass_2.2,74115,5,2,2,2.2,5_3,53,1951,74115,1954,752327,9.85,118110,6.37
Fraser River,Chilko,1956,1859979,AgeClass_0.3,0,4,0,3,0.3,4_1,41,1952,0,1953,1858476,0,490065,3.792
Fraser River,Chilko,1956,1859979,AgeClass_1.2,1763929,4,1,2,1.2,4_2,42,1952,1763929,1954,1858476,94.91,490065,3.792
Fraser River,Chilko,1956,1859979,AgeClass_2.1,114,4,2,1,2.1,4_3,43,1952,114,1955,1858476,0.01,490065,3.792
Fraser River,Chilko,1956,1859979,AgeClass_0.2,0,3,0,2,0.2,3_1,31,1953,0,1954,619456,0,201245,3.078
Fraser River,Chilko,1956,1859979,AgeClass_1.1,1172,3,1,1,1.1,3_2,32,1953,1172,1955,619456,0.19,201245,3.078
Fraser River,Chilko,1956,1859979,AgeClass_0.1,0,2,0,1,0.1,2_1,21,1954,0,1955,712749,0,37743,18.884
Fraser River,Chilko,1957,601596,AgeClass_1.5,0,7,1,5,1.5,7_2,72,1950,0,1952,205875,0,26447,7.784
Fraser River,Chilko,1957,601596,AgeClass_1.4,0,6,1,4,1.4,6_2,62,1951,0,1953,752327,0,118110,6.37
Fraser River,Chilko,1957,601596,AgeClass_2.3,3609,6,2,3,2.3,6_3,63,1951,3609,1954,752327,0.48,118110,6.37
Fraser River,Chilko,1957,601596,AgeClass_3.2,0,6,3,2,3.2,6_4,64,1951,0,1955,752327,0,118110,6.37
Fraser River,Chilko,1957,601596,AgeClass_0.4,0,5,0,4,0.4,5_1,51,1952,0,1953,1858476,0,490065,3.792
Fraser River,Chilko,1957,601596,AgeClass_1.3,35975,5,1,3,1.3,5_2,52,1952,35975,1954,1858476,1.94,490065,3.792
Fraser River,Chilko,1957,601596,AgeClass_2.2,38833,5,2,2,2.2,5_3,53,1952,38833,1955,1858476,2.09,490065,3.792
Fraser River,Chilko,1957,601596,AgeClass_0.3,0,4,0,3,0.3,4_1,41,1953,0,1954,619456,0,201245,3.078
Fraser River,Chilko,1957,601596,AgeClass_1.2,514554,4,1,2,1.2,4_2,42,1953,514554,1955,619456,83.07,201245,3.078
Fraser River,Chilko,1957,601596,AgeClass_2.1,2583,4,2,1,2.1,4_3,43,1953,2583,1956,619456,0.42,201245,3.078
Fraser River,Chilko,1957,601596,AgeClass_0.2,0,3,0,2,0.2,3_1,31,1954,0,1955,712749,0,37743,18.884
Fraser River,Chilko,1957,601596,AgeClass_1.1,12234,3,1,1,1.1,3_2,32,1954,12234,1956,712749,1.72,37743,18.884
Fraser River,Chilko,1957,601596,AgeClass_0.1,0,2,0,1,0.1,2_1,21,1955,0,1956,1513275,0,132146,11.452
Fraser River,Chilko,1958,764916,AgeClass_1.5,0,7,1,5,1.5,7_2,72,1951,0,1953,752327,0,118110,6.37
Fraser River,Chilko,1958,764916,AgeClass_1.4,0,6,1,4,1.4,6_2,62,1952,0,1954,1858476,0,490065,3.792
Fraser River,Chilko,1958,764916,AgeClass_2.3,893,6,2,3,2.3,6_3,63,1952,893,1955,1858476,0.05,490065,3.792
Fraser River,Chilko,1958,764916,AgeClass_3.2,0,6,3,2,3.2,6_4,64,1952,0,1956,1858476,0,490065,3.792
Fraser River,Chilko,1958,764916,AgeClass_0.4,0,5,0,4,0.4,5_1,51,1953,0,1954,619456,0,201245,3.078
Fraser River,Chilko,1958,764916,AgeClass_1.3,14004,5,1,3,1.3,5_2,52,1953,14004,1955,619456,2.26,201245,3.078
Fraser River,Chilko,1958,764916,AgeClass_2.2,86362,5,2,2,2.2,5_3,53,1953,86362,1956,619456,13.94,201245,3.078
Fraser River,Chilko,1958,764916,AgeClass_0.3,0,4,0,3,0.3,4_1,41,1954,0,1955,712749,0,37743,18.884
Fraser River,Chilko,1958,764916,AgeClass_1.2,632132,4,1,2,1.2,4_2,42,1954,632132,1956,712749,88.69,37743,18.884
Fraser River,Chilko,1958,764916,AgeClass_2.1,2844,4,2,1,2.1,4_3,43,1954,2844,1957,712749,0.4,37743,18.884
Fraser River,Chilko,1958,764916,AgeClass_0.2,0,3,0,2,0.2,3_1,31,1955,0,1956,1513275,0,132146,11.452
Fraser River,Chilko,1958,764916,AgeClass_1.1,32418,3,1,1,1.1,3_2,32,1955,32418,1957,1513275,2.14,132146,11.452
Fraser River,Chilko,1958,764916,AgeClass_0.1,0,2,0,1,0.1,2_1,21,1956,0,1957,2435670,0,647768,3.76
Fraser River,Chilko,1959,1485174,AgeClass_1.5,0,7,1,5,1.5,7_2,72,1952,0,1954,1858476,0,490065,3.792
Fraser River,Chilko,1959,1485174,AgeClass_1.4,0,6,1,4,1.4,6_2,62,1953,0,1955,619456,0,201245,3.078
Fraser River,Chilko,1959,1485174,AgeClass_2.3,781,6,2,3,2.3,6_3,63,1953,781,1956,619456,0.13,201245,3.078
Fraser River,Chilko,1959,1485174,AgeClass_3.2,0,6,3,2,3.2,6_4,64,1953,0,1957,619456,0,201245,3.078
Fraser River,Chilko,1959,1485174,AgeClass_0.4,0,5,0,4,0.4,5_1,51,1954,0,1955,712749,0,37743,18.884
Fraser River,Chilko,1959,1485174,AgeClass_1.3,4415,5,1,3,1.3,5_2,52,1954,4415,1956,712749,0.62,37743,18.884
Fraser River,Chilko,1959,1485174,AgeClass_2.2,58891,5,2,2,2.2,5_3,53,1954,58891,1957,712749,8.26,37743,18.884
Fraser River,Chilko,1959,1485174,AgeClass_0.3,0,4,0,3,0.3,4_1,41,1955,0,1956,1513275,0,132146,11.452
Fraser River,Chilko,1959,1485174,AgeClass_1.2,1407963,4,1,2,1.2,4_2,42,1955,1407963,1957,1513275,93.04,132146,11.452
Fraser River,Chilko,1959,1485174,AgeClass_2.1,1373,4,2,1,2.1,4_3,43,1955,1373,1958,1513275,0.09,132146,11.452
Fraser River,Chilko,1959,1485174,AgeClass_0.2,0,3,0,2,0.2,3_1,31,1956,0,1957,2435670,0,647768,3.76
Fraser River,Chilko,1959,1485174,AgeClass_1.1,13905,3,1,1,1.1,3_2,32,1956,13905,1958,2435670,0.57,647768,3.76
Fraser River,Chilko,1959,1485174,AgeClass_0.1,0,2,0,1,0.1,2_1,21,1957,0,1958,138228,0,140765,0.982
Fraser River,Chilko,1960,2451451,AgeClass_1.5,0,7,1,5,1.5,7_2,72,1953,0,1955,619456,0,201245,3.078
Fraser River,Chilko,1960,2451451,AgeClass_1.4,0,6,1,4,1.4,6_2,62,1954,0,1956,712749,0,37743,18.884
Fraser River,Chilko,1960,2451451,AgeClass_2.3,2233,6,2,3,2.3,6_3,63,1954,2233,1957,712749,0.31,37743,18.884
Fraser River,Chilko,1960,2451451,AgeClass_3.2,0,6,3,2,3.2,6_4,64,1954,0,1958,712749,0,37743,18.884
Fraser River,Chilko,1960,2451451,AgeClass_0.4,0,5,0,4,0.4,5_1,51,1955,0,1956,1513275,0,132146,11.452
Fraser River,Chilko,1960,2451451,AgeClass_1.3,31011,5,1,3,1.3,5_2,52,1955,31011,1957,1513275,2.05,132146,11.452
Fraser River,Chilko,1960,2451451,AgeClass_2.2,40510,5,2,2,2.2,5_3,53,1955,40510,1958,1513275,2.68,132146,11.452
Fraser River,Chilko,1960,2451451,AgeClass_0.3,0,4,0,3,0.3,4_1,41,1956,0,1957,2435670,0,647768,3.76
Fraser River,Chilko,1960,2451451,AgeClass_1.2,2379854,4,1,2,1.2,4_2,42,1956,2379854,1958,2435670,97.71,647768,3.76
Fraser River,Chilko,1960,2451451,AgeClass_2.1,75,4,2,1,2.1,4_3,43,1956,75,1959,2435670,0,647768,3.76
Fraser River,Chilko,1960,2451451,AgeClass_0.2,0,3,0,2,0.2,3_1,31,1957,0,1958,138228,0,140765,0.982
Fraser River,Chilko,1960,2451451,AgeClass_1.1,76,3,1,1,1.1,3_2,32,1957,76,1959,138228,0.05,140765,0.982
Fraser River,Chilko,1960,2451451,AgeClass_0.1,0,2,0,1,0.1,2_1,21,1958,0,1959,433371,0,137081,3.161
Fraser River,Chilko,1961,163253,AgeClass_1.5,0,7,1,5,1.5,7_2,72,1954,0,1956,712749,0,37743,18.884
Fraser River,Chilko,1961,163253,AgeClass_1.4,0,6,1,4,1.4,6_2,62,1955,0,1957,1513275,0,132146,11.452
Fraser River,Chilko,1961,163253,AgeClass_2.3,0,6,2,3,2.3,6_3,63,1955,0,1958,1513275,0,132146,11.452
Fraser River,Chilko,1961,163253,AgeClass_3.2,0,6,3,2,3.2,6_4,64,1955,0,1959,1513275,0,132146,11.452
Fraser River,Chilko,1961,163253,AgeClass_0.4,0,5,0,4,0.4,5_1,51,1956,0,1957,2435670,0,647768,3.76
Fraser River,Chilko,1961,163253,AgeClass_1.3,16684,5,1,3,1.3,5_2,52,1956,16684,1958,2435670,0.68,647768,3.76
Fraser River,Chilko,1961,163253,AgeClass_2.2,25152,5,2,2,2.2,5_3,53,1956,25152,1959,2435670,1.03,647768,3.76
Fraser River,Chilko,1961,163253,AgeClass_0.3,0,4,0,3,0.3,4_1,41,1957,0,1958,138228,0,140765,0.982
Fraser River,Chilko,1961,163253,AgeClass_1.2,117362,4,1,2,1.2,4_2,42,1957,117362,1959,138228,84.9,140765,0.982
Fraser River,Chilko,1961,163253,AgeClass_2.1,63,4,2,1,2.1,4_3,43,1957,63,1960,138228,0.05,140765,0.982
Fraser River,Chilko,1961,163253,AgeClass_0.2,0,3,0,2,0.2,3_1,31,1958,0,1959,433371,0,137081,3.161
Fraser River,Chilko,1961,163253,AgeClass_1.1,4055,3,1,1,1.1,3_2,32,1958,4055,1960,433371,0.94,137081,3.161
Fraser River,Chilko,1961,163253,AgeClass_0.1,0,2,0,1,0.1,2_1,21,1959,0,1960,2212583,0,471162,4.696
Fraser River,Chilko,1962,322839,AgeClass_1.5,0,7,1,5,1.5,7_2,72,1955,0,1957,1513275,0,132146,11.452
Fraser River,Chilko,1962,322839,AgeClass_1.4,0,6,1,4,1.4,6_2,62,1956,0,1958,2435670,0,647768,3.76
Fraser River,Chilko,1962,322839,AgeClass_2.3,0,6,2,3,2.3,6_3,63,1956,0,1959,2435670,0,647768,3.76
Fraser River,Chilko,1962,322839,AgeClass_3.2,0,6,3,2,3.2,6_4,64,1956,0,1960,2435670,0,647768,3.76
Fraser River,Chilko,1962,322839,AgeClass_0.4,0,5,0,4,0.4,5_1,51,1957,0,1958,138228,0,140765,0.982
Fraser River,Chilko,1962,322839,AgeClass_1.3,3149,5,1,3,1.3,5_2,52,1957,3149,1959,138228,2.28,140765,0.982
Fraser River,Chilko,1962,322839,AgeClass_2.2,17578,5,2,2,2.2,5_3,53,1957,17578,1960,138228,12.72,140765,0.982
Fraser River,Chilko,1962,322839,AgeClass_0.3,0,4,0,3,0.3,4_1,41,1958,0,1959,433371,0,137081,3.161
Fraser River,Chilko,1962,322839,AgeClass_1.2,278320,4,1,2,1.2,4_2,42,1958,278320,1960,433371,64.22,137081,3.161
Fraser River,Chilko,1962,322839,AgeClass_2.1,1711,4,2,1,2.1,4_3,43,1958,1711,1961,433371,0.39,137081,3.161
Fraser River,Chilko,1962,322839,AgeClass_0.2,0,3,0,2,0.2,3_1,31,1959,0,1960,2212583,0,471162,4.696
Fraser River,Chilko,1962,322839,AgeClass_1.1,23792,3,1,1,1.1,3_2,32,1959,23792,1961,2212583,1.08,471162,4.696
Fraser River,Chilko,1962,322839,AgeClass_0.1,0,2,0,1,0.1,2_1,21,1960,0,1961,1053335,0,426607,2.469
Fraser River,Chilko,1963,2230163,AgeClass_1.5,0,7,1,5,1.5,7_2,72,1956,0,1958,2435670,0,647768,3.76
Fraser River,Chilko,1963,2230163,AgeClass_1.4,0,6,1,4,1.4,6_2,62,1957,0,1959,138228,0,140765,0.982
Fraser River,Chilko,1963,2230163,AgeClass_2.3,0,6,2,3,2.3,6_3,63,1957,0,1960,138228,0,140765,0.982
Fraser River,Chilko,1963,2230163,AgeClass_3.2,0,6,3,2,3.2,6_4,64,1957,0,1961,138228,0,140765,0.982
Fraser River,Chilko,1963,2230163,AgeClass_0.4,0,5,0,4,0.4,5_1,51,1958,0,1959,433371,0,137081,3.161
Fraser River,Chilko,1963,2230163,AgeClass_1.3,13613,5,1,3,1.3,5_2,52,1958,13613,1960,433371,3.14,137081,3.161
Fraser River,Chilko,1963,2230163,AgeClass_2.2,130581,5,2,2,2.2,5_3,53,1958,130581,1961,433371,30.13,137081,3.161
Fraser River,Chilko,1963,2230163,AgeClass_0.3,0,4,0,3,0.3,4_1,41,1959,0,1960,2212583,0,471162,4.696
Fraser River,Chilko,1963,2230163,AgeClass_1.2,2080497,4,1,2,1.2,4_2,42,1959,2080497,1961,2212583,94.03,471162,4.696
Fraser River,Chilko,1963,2230163,AgeClass_2.1,1272,4,2,1,2.1,4_3,43,1959,1272,1962,2212583,0.06,471162,4.696
Fraser River,Chilko,1963,2230163,AgeClass_0.2,0,3,0,2,0.2,3_1,31,1960,0,1961,1053335,0,426607,2.469
Fraser River,Chilko,1963,2230163,AgeClass_1.1,5472,3,1,1,1.1,3_2,32,1960,5472,1962,1053335,0.52,426607,2.469
Fraser River,Chilko,1963,2230163,AgeClass_0.1,0,2,0,1,0.1,2_1,21,1961,0,1962,69453,0,40315,1.723
Fraser River,Chilko,1964,1066155,AgeClass_1.5,0,7,1,5,1.5,7_2,72,1957,0,1959,138228,0,140765,0.982
Fraser River,Chilko,1964,1066155,AgeClass_1.4,0,6,1,4,1.4,6_2,62,1958,0,1960,433371,0,137081,3.161
Fraser River,Chilko,1964,1066155,AgeClass_2.3,5091,6,2,3,2.3,6_3,63,1958,5091,1961,433371,1.17,137081,3.161
Fraser River,Chilko,1964,1066155,AgeClass_3.2,0,6,3,2,3.2,6_4,64,1958,0,1962,433371,0,137081,3.161
Fraser River,Chilko,1964,1066155,AgeClass_0.4,0,5,0,4,0.4,5_1,51,1959,0,1960,2212583,0,471162,4.696
Fraser River,Chilko,1964,1066155,AgeClass_1.3,18659,5,1,3,1.3,5_2,52,1959,18659,1961,2212583,0.84,471162,4.696
Fraser River,Chilko,1964,1066155,AgeClass_2.2,88363,5,2,2,2.2,5_3,53,1959,88363,1962,2212583,3.99,471162,4.696
Fraser River,Chilko,1964,1066155,AgeClass_0.3,0,4,0,3,0.3,4_1,41,1960,0,1961,1053335,0,426607,2.469
Fraser River,Chilko,1964,1066155,AgeClass_1.2,958877,4,1,2,1.2,4_2,42,1960,958877,1962,1053335,91.03,426607,2.469
Fraser River,Chilko,1964,1066155,AgeClass_2.1,1045,4,2,1,2.1,4_3,43,1960,1045,1963,1053335,0.1,426607,2.469
Fraser River,Chilko,1964,1066155,AgeClass_0.2,0,3,0,2,0.2,3_1,31,1961,0,1962,69453,0,40315,1.723
Fraser River,Chilko,1964,1066155,AgeClass_1.1,256,3,1,1,1.1,3_2,32,1961,256,1963,69453,0.37,40315,1.723
Fraser River,Chilko,1964,1066155,AgeClass_0.1,0,2,0,1,0.1,2_1,21,1962,0,1963,985562,0,92467,10.659
Fraser River,Chilko,1965,151311,AgeClass_1.5,0,7,1,5,1.5,7_2,72,1958,0,1960,433371,0,137081,3.161
Fraser River,Chilko,1965,151311,AgeClass_1.4,0,6,1,4,1.4,6_2,62,1959,0,1961,2212583,0,471162,4.696
Fraser River,Chilko,1965,151311,AgeClass_2.3,0,6,2,3,2.3,6_3,63,1959,0,1962,2212583,0,471162,4.696
Fraser River,Chilko,1965,151311,AgeClass_3.2,0,6,3,2,3.2,6_4,64,1959,0,1963,2212583,0,471162,4.696
Fraser River,Chilko,1965,151311,AgeClass_0.4,0,5,0,4,0.4,5_1,51,1960,0,1961,1053335,0,426607,2.469
Fraser River,Chilko,1965,151311,AgeClass_1.3,5980,5,1,3,1.3,5_2,52,1960,5980,1962,1053335,0.57,426607,2.469
Fraser River,Chilko,1965,151311,AgeClass_2.2,81961,5,2,2,2.2,5_3,53,1960,81961,1963,1053335,7.78,426607,2.469
Fraser River,Chilko,1965,151311,AgeClass_0.3,0,4,0,3,0.3,4_1,41,1961,0,1962,69453,0,40315,1.723
